City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Kenda,IN,79.07,broken clouds,23.2,86.5333,Dilip kumar mudi
5,Jamestown,US,78.44,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
8,Rikitea,PF,75.33,light rain,-23.1203,-134.9692,People ThankYou
9,Portland,US,80.62,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
10,Hilo,US,85.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
13,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
15,Spencer,US,87.91,few clouds,43.1414,-95.1444,Reston Inn Suites
24,Ibra,OM,79.18,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
25,Ishigaki,JP,86.13,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
31,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
39,Hirara,JP,85.86,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
43,San Giljan,MT,77.05,clear sky,35.9184,14.4898,Grand Hotel Excelsior Malta
45,Zaysan,KZ,78.24,clear sky,47.4667,84.8667,Ерлан үй
51,Xuanzhou,CN,86.41,overcast clouds,30.9525,118.7553,Nanfang Hotel
58,Jogindarnagar,IN,75.67,clear sky,31.9833,76.7667,Hotel Anshdeep
64,Tayoltita,MX,77.74,broken clouds,24.0833,-105.9333,Hotel La Mina Tayoltita
67,Samarinda,ID,79.95,light rain,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
69,Araceli,PH,83.44,few clouds,10.5529,119.9913,JBryan Traveler's Inn
75,Indianola,US,87.6,clear sky,41.3581,-93.5574,Quality Inn Indianola
76,San Rafael Del Sur,NI,77.97,broken clouds,11.8485,-86.4384,Hospedaje El Chino
79,Avarua,CK,82.45,overcast clouds,-21.2078,-159.775,Paradise Inn
80,Shahrud,IR,75.02,scattered clouds,36.4182,54.9763,Royal Hotel
83,Sao Filipe,CV,75.7,broken clouds,14.8961,-24.4956,Hotel Xaguate
84,Ambon,ID,80.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
85,Abu Zabad,SD,82.33,clear sky,12.35,29.25,حامد محمد نور
94,Dossor,KZ,79.88,broken clouds,47.5272,52.9811,"Gostinitsa Orpk ""Nauryz"""
103,Half Moon Bay,US,88.59,broken clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
105,Tulum,MX,80.83,scattered clouds,20.2167,-87.4667,Kin Ha Tulum
108,Atuona,PF,78.35,clear sky,-9.8,-139.0333,Villa Enata
112,Yuanping,CN,79.29,clear sky,38.7153,112.7575,Yuanping Xinghe Guesthouse
113,Kununurra,AU,75.18,clear sky,-15.7667,128.7333,Hotel Kununurra
118,Totness,SR,77.11,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
120,Helena,US,83.39,clear sky,46.5927,-112.0361,"Holiday Inn Express & Suites Helena, an IHG Hotel"
121,Chenzhou,CN,83.7,overcast clouds,25.8,113.0333,Thank Inn Chain Hotel hunan chenzhou beihu district wuling square
128,Puerto Escondido,MX,78.42,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
134,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
136,Minuri,PH,78.4,overcast clouds,16.535,121.8574,
138,Miramar,US,82.0,few clouds,25.9873,-80.2323,Stadium Hotel
139,Singaraja,ID,82.42,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
142,Marsh Harbour,BS,77.36,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
146,Grand Forks,US,82.33,few clouds,47.9417,-97.4337,Warrior Inn
148,Kirakira,SB,83.86,scattered clouds,-10.4544,161.9205,SanBiz Lodge
149,Keti Bandar,PK,83.82,clear sky,24.1447,67.4497,Haji laloo memon house
158,Hithadhoo,MV,83.93,scattered clouds,-0.6,73.0833,Scoop Guest House
160,Kavieng,PG,84.87,light rain,-2.5744,150.7967,Nusa Island Retreat
161,Honiara,SB,86.45,broken clouds,-9.4333,159.95,Heritage Park Hotel
167,La Asuncion,VE,82.13,few clouds,11.0333,-63.8628,Colinas de Matasiete
174,Namatanai,PG,85.35,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
176,Tura,IN,75.58,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
178,Khatassy,RU,78.78,clear sky,61.9036,129.6383,"Ulitsa Skhpk,, Khatasskiy,, Dom 20076K"
181,Kurchum,KZ,79.9,few clouds,48.5722,83.6542,"Gostinitsa ""Kneda"""
182,Sur,OM,85.08,broken clouds,22.5667,59.5289,Sur Plaza Hotel
185,Dagana,MR,86.88,clear sky,16.5165,-15.5068,Quartier Dille koumba fatim thiam
186,Bengkulu,ID,76.66,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
187,Matara,LK,77.4,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
190,Beyneu,KZ,81.88,clear sky,45.3167,55.2,NUR
192,Quartucciu,IT,81.0,clear sky,39.2519,9.1794,Best Western Hotel Residence Italia
198,Alyangula,AU,80.01,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
199,Luganville,VU,75.52,light rain,-15.5333,167.1667,The Espiritu Hotel
201,Seoul,KR,76.6,moderate rain,37.5683,126.9778,롯데호텔 서울
203,Cabatuan,PH,83.93,few clouds,10.8794,122.486,MVC Transient Room
207,Turan,VN,84.18,clear sky,16.0678,108.2208,Grand Mercure Danang
208,Isangel,VU,77.11,broken clouds,-19.55,169.2667,Tanna Lodge
210,Ca Mau,VN,83.8,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
212,Amga,RU,77.52,few clouds,60.8953,131.9608,Algys
213,Shenjiamen,CN,75.63,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
214,Dawei,MM,80.82,overcast clouds,14.0833,98.2,Hotel Dawei
218,Wewak,PG,84.2,clear sky,-3.5534,143.6268,In Wewak Boutique Hotel
219,Tomatlan,MX,80.42,overcast clouds,19.9333,-105.25,El Salvial
220,San Cristobal,VE,75.38,clear sky,7.7669,-72.225,Pirineos
225,Bansang,GM,85.71,light rain,13.4333,-14.65,Margie's Lodge
228,Butaritari,KI,81.46,moderate rain,3.0707,172.7902,Isles Sunset Lodge
229,Aloleng,PH,82.08,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
234,Fallon,US,89.47,broken clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
236,Guhagar,IN,77.49,overcast clouds,17.4842,73.1929,Hotel Seawinds
237,Bocas Del Toro,PA,77.7,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
238,Marawi,PH,79.48,scattered clouds,7.9986,124.2928,Derogongan Residence
242,Praya,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
244,Meulaboh,ID,76.23,overcast clouds,4.1363,96.1285,Kost Pria
249,Kapoeta,SS,76.21,scattered clouds,4.7717,33.5903,Eastgate Hotel
252,College,US,78.01,smoke,64.8569,-147.8028,Pike's Waterfront Lodge
254,Jalu,LY,77.61,clear sky,29.0331,21.5482,صاحبة الفخامة
257,Cattolica,IT,80.4,clear sky,43.9575,12.7376,Hotel Antares
258,Lorengau,PG,84.69,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
260,Fairbanks,US,78.03,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
262,Anloga,GH,76.89,overcast clouds,5.7947,0.8973,Pin Drop Hotel
266,Acapulco,MX,76.82,drizzle,16.8634,-99.8901,HS Hotsson Smart Acapulco
267,Asyut,EG,78.98,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
273,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
274,Faanui,PF,80.33,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
275,Arles,FR,75.4,overcast clouds,43.6768,4.6303,L'Arlatan (Hôtel à Arles)
