City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobart,AU,-42.8794,147.3294,58.23,79,75,5.75,moderate rain
1,Castro,BR,-24.7911,-50.0119,59.76,90,0,4.72,clear sky
2,Pisco,PE,-13.7,-76.2167,61.02,82,100,12.66,overcast clouds
3,Barrow,US,71.2906,-156.7887,41.02,93,100,13.8,overcast clouds
4,Kenda,IN,23.2,86.5333,79.07,84,74,5.1,broken clouds
5,Jamestown,US,42.097,-79.2353,78.44,47,0,10.36,clear sky
6,Mathathane,BW,-22.2687,28.7495,55.33,79,1,8.97,clear sky
7,Pontes E Lacerda,BR,-15.2261,-59.3353,72.63,56,57,3.02,broken clouds
8,Rikitea,PF,-23.1203,-134.9692,75.33,77,50,16.87,light rain
9,Portland,US,45.5234,-122.6762,80.62,56,20,11.5,few clouds
10,Hilo,US,19.7297,-155.09,85.28,84,100,5.75,overcast clouds
11,Sioux Lookout,CA,50.1001,-91.917,71.67,43,20,10.36,few clouds
12,Port Alfred,ZA,-33.5906,26.891,63.32,78,89,8.3,overcast clouds
13,Vaini,TO,-21.2,-175.2,77.16,65,40,11.5,scattered clouds
14,Thompson,CA,55.7435,-97.8558,62.76,72,75,6.91,thunderstorm
15,Spencer,US,43.1414,-95.1444,87.91,34,14,3.76,few clouds
16,Navirai,BR,-23.065,-54.1906,71.37,65,6,6.4,clear sky
17,Marsa Matruh,EG,31.3525,27.2453,74.01,87,0,12.95,clear sky
18,Saint-Philippe,RE,-21.3585,55.7679,63.99,83,21,15.52,light rain
19,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,51.98,75,100,6.24,overcast clouds
20,Torbay,CA,47.6666,-52.7314,60.89,77,40,10.36,scattered clouds
21,Cape Town,ZA,-33.9258,18.4232,60.12,93,91,4.61,overcast clouds
22,Cururupu,BR,-1.8283,-44.8683,72.73,96,34,2.73,scattered clouds
23,Punta Arenas,CL,-53.15,-70.9167,39.31,60,100,5.75,overcast clouds
24,Ibra,OM,22.6906,58.5334,79.18,74,6,2.48,clear sky
25,Ishigaki,JP,24.3448,124.1572,86.13,84,20,10.36,few clouds
26,Lavrentiya,RU,65.5833,-171.0,45.72,84,90,9.75,overcast clouds
27,Atar,MR,20.5169,-13.0499,93.4,31,13,10.63,few clouds
28,Cherskiy,RU,68.75,161.3,58.96,55,100,15.97,light rain
29,Belyy Yar,RU,53.6039,91.3903,66.09,77,20,6.71,light rain
30,Egvekinot,RU,66.3167,-179.1667,40.87,80,97,6.93,overcast clouds
31,Kapaa,US,22.0752,-159.319,84.18,87,100,10.36,light rain
32,Longyearbyen,SJ,78.2186,15.6401,44.44,70,75,16.11,broken clouds
33,Albany,US,42.6001,-73.9662,64.17,79,99,1.99,overcast clouds
34,Codrington,AU,-38.2667,141.9667,54.9,79,100,16.64,overcast clouds
35,Mataura,NZ,-46.1927,168.8643,40.48,52,98,2.37,overcast clouds
36,Saskylakh,RU,71.9167,114.0833,50.45,43,20,9.86,few clouds
37,Muravlenko,RU,63.7898,74.523,65.28,74,74,5.48,broken clouds
38,Xichang,CN,27.8964,102.2634,68.77,96,100,0.83,heavy intensity rain
39,Hirara,JP,24.8,125.2833,85.86,84,40,13.8,scattered clouds
40,Skibbereen,IE,51.55,-9.2667,53.11,92,9,3.94,clear sky
41,Qaanaaq,GL,77.484,-69.3632,39.43,62,11,2.89,few clouds
42,Teruel,ES,40.6667,-0.6667,55.78,49,0,4.83,clear sky
43,San Giljan,MT,35.9184,14.4898,77.05,46,0,3.44,clear sky
44,Severo-Kurilsk,RU,50.6789,156.125,47.84,89,81,17.09,broken clouds
45,Zaysan,KZ,47.4667,84.8667,78.24,23,6,5.28,clear sky
46,Kokkola,FI,63.8385,23.1307,57.36,88,75,10.36,broken clouds
47,Puerto Ayora,EC,-0.7393,-90.3518,70.56,95,83,8.01,broken clouds
48,Amapa,BR,1.0,-52.0,71.26,99,13,0.92,few clouds
49,Nizhniy Tsasuchey,RU,50.5167,115.1333,67.17,51,100,10.96,overcast clouds
50,New Norfolk,AU,-42.7826,147.0587,57.88,83,100,1.99,overcast clouds
51,Xuanzhou,CN,30.9525,118.7553,86.41,66,100,11.34,overcast clouds
52,Bluff,NZ,-46.6,168.3333,40.8,58,82,6.38,broken clouds
53,Kalmar,SE,56.6616,16.3616,58.96,85,100,1.99,overcast clouds
54,Chancay,PE,-11.5714,-77.2672,61.27,81,20,8.5,few clouds
55,Ushuaia,AR,-54.8,-68.3,37.06,93,100,23.02,light rain
56,Kez,RU,57.8979,53.7152,50.74,97,75,2.95,broken clouds
57,Airai,TL,-8.9266,125.4092,66.72,67,81,5.41,broken clouds
58,Jogindarnagar,IN,31.9833,76.7667,75.67,43,0,2.93,clear sky
59,Kajaani,FI,64.2273,27.7285,57.25,88,100,8.05,overcast clouds
60,Necochea,AR,-38.5473,-58.7368,40.05,67,47,1.63,scattered clouds
61,Iqaluit,CA,63.7506,-68.5145,42.53,65,75,8.05,broken clouds
62,Sungai Padi,TH,6.0851,101.8766,74.98,90,99,1.48,overcast clouds
63,Sobolevo,RU,54.4299,31.8996,51.64,93,22,9.8,few clouds
64,Tayoltita,MX,24.0833,-105.9333,77.74,74,79,0.89,broken clouds
65,Cabo San Lucas,MX,22.8909,-109.9124,92.61,45,0,16.11,clear sky
66,Arman,RU,59.7,150.1667,50.02,92,100,6.78,overcast clouds
67,Samarinda,ID,-0.5,117.15,79.95,84,96,2.26,light rain
68,Margate,GB,51.3813,1.3862,60.31,87,1,1.99,clear sky
69,Araceli,PH,10.5529,119.9913,83.44,71,19,6.6,few clouds
70,Rocha,UY,-34.4833,-54.3333,47.88,86,100,9.53,light rain
71,Ponta Do Sol,PT,32.6667,-17.1,66.83,68,59,4.52,broken clouds
72,Coquimbo,CL,-29.9533,-71.3436,58.73,72,0,17.27,clear sky
73,Mattru,SL,7.6244,-11.8332,72.75,98,87,1.1,light rain
74,Chumikan,RU,54.7183,135.315,41.74,97,100,1.61,light rain
75,Indianola,US,41.3581,-93.5574,87.6,41,5,2.66,clear sky
76,San Rafael Del Sur,NI,11.8485,-86.4384,77.97,79,79,10.11,broken clouds
77,Taoudenni,ML,22.6783,-3.9836,97.65,21,0,12.86,clear sky
78,Sitka,US,57.0531,-135.33,55.29,76,100,5.75,overcast clouds
79,Avarua,CK,-21.2078,-159.775,82.45,78,100,16.11,overcast clouds
80,Shahrud,IR,36.4182,54.9763,75.02,21,33,1.72,scattered clouds
81,Busselton,AU,-33.65,115.3333,59.95,87,97,8.5,overcast clouds
82,Rawson,AR,-43.3002,-65.1023,36.86,49,0,5.93,clear sky
83,Sao Filipe,CV,14.8961,-24.4956,75.7,92,55,4.09,broken clouds
84,Ambon,ID,-3.6954,128.1814,80.74,89,40,4.61,scattered clouds
85,Abu Zabad,SD,12.35,29.25,82.33,48,2,5.77,clear sky
86,Vardo,NO,70.3705,31.1107,42.78,100,100,1.14,overcast clouds
87,Christchurch,NZ,-43.5333,172.6333,51.42,75,53,5.75,broken clouds
88,Port Elizabeth,ZA,-33.918,25.5701,59.31,87,100,2.3,overcast clouds
89,Kruisfontein,ZA,-34.0033,24.7314,55.89,57,100,6.42,overcast clouds
90,Hovd,MN,48.0056,91.6419,70.21,32,0,2.39,clear sky
91,Brae,GB,60.3964,-1.353,52.59,97,100,18.86,overcast clouds
92,Quchan,IR,37.106,58.5095,68.68,26,14,7.31,few clouds
93,Hermanus,ZA,-34.4187,19.2345,59.81,87,100,11.05,overcast clouds
94,Dossor,KZ,47.5272,52.9811,79.88,37,80,11.43,broken clouds
95,San Vicente,AR,-26.6167,-54.1333,61.97,99,88,0.92,overcast clouds
96,Caravelas,BR,-17.7125,-39.2481,70.68,88,2,4.72,clear sky
97,Poum,NC,-20.2333,164.0167,72.82,59,100,3.87,overcast clouds
98,Shubarshi,KZ,48.5872,57.1869,73.54,51,100,9.73,overcast clouds
99,Olinda,BR,-8.0089,-34.8553,69.53,94,75,1.14,light rain
100,Tuktoyaktuk,CA,69.4541,-133.0374,60.8,51,75,6.91,broken clouds
